,ndc,rxcui,ingredient_rxcui
44800,23589003616,884526,3288
44801,23589003808,1006105,10169
44802,23589003808,1006105,10223
44803,23589003945,1000736,10169
44804,23589003945,1000736,10223
44805,23589004191,898520,
44806,23589004416,1047771,
44807,23589004516,1047779,
44808,23589004616,996746,
44809,23589006091,204135,3254
44810,23589006191,1014367,
44811,23589006793,1012208,
44812,23589007093,1012208,
44813,23589007130,697878,
44814,23589007391,1014366,
44815,23589007616,1099631,
44816,23594010030,2003964,
44817,23594010105,1374776,20220
44818,23594012501,309044,2176
44819,23594020010,697760,
44820,23594020030,1947671,
44821,23594021001,1483319,114979
44822,23594025001,313888,2176
44823,23594030030,2004047,
44824,23594040010,696141,
44825,23594040030,2003965,
44826,23594050050,1947902,
44827,23594050501,808118,8638
44828,23594050521,1235042,8638
44829,23594050548,1005831,8638
44830,23594050550,808118,8638
44831,23594051008,795097,8638
44832,23594060050,2004048,
44833,23594070050,1947874,
44834,23594078088,1356673,1426
44835,23594080050,2004132,
44836,23594090230,1652722,
44837,23594090630,1604007,
44838,23594091508,824889,8638
44839,23601000004,,
44840,23629001810,197658,4083
44841,23629002010,,
44842,23629003310,1046982,153970
44843,23629004010,966224,10582
44844,23629005110,197987,6984
44845,23629006110,1094104,8120
44846,23629006310,,
44847,23635005401,1087389,2400
44848,23635005401,1087389,5489
44849,23635005420,1087389,2400
44850,23635005420,1087389,5489
44851,23635010801,1087427,2400
44852,23635010801,1087427,5489
44853,23635010820,1087427,2400
44854,23635010820,1087427,5489
44855,23635011501,1491834,
44856,23635031015,967944,3355
44857,23635040801,902743,3423
44858,23635041201,902733,3423
44859,23635041601,902738,3423
44860,23635043201,1306900,3423
44861,23635051012,1487076,3355
44862,23635058110,1049613,7804
44863,23635058210,1049620,7804
44864,23635099101,1049259,
44865,23635099201,1049262,
44866,23635099301,1049269,
44867,23635099401,1049253,
44868,23710000002,2124401,
44869,23710000070,2124401,
44870,23710000110,891192,
44871,23710000118,891192,
44872,23710000126,891192,
44873,23710000136,891192,
44874,23710000140,891192,
44875,23710000208,1188732,
44876,23710000602,824983,9525
44877,23710000603,880890,
44878,23710000604,1247825,11002
44879,23710000604,1247825,9525
44880,23710000670,824983,9525
44881,23710003515,849650,11002
44882,23710004015,728546,11002
44883,23710004075,728546,11002
44884,23710005002,1947996,
44885,23710005202,999477,1418
44886,23710005202,999477,9525
44887,23710006004,1243658,
44888,23710006042,1368720,
