,control,samp_size,OR,p_value,ci95_lower,ci95_upper
0,t2dControlEmerge,2000,1.2633587786259541,0.00828629490116159,1.0621063322265822,1.502745398556543
1,t2dControlEmerge,2000,1.2132867132867133,0.026068613380555036,1.02529188204619,1.4357517838727594
2,t2dControlEmerge,2000,1.2536764705882353,0.010444118133803307,1.0566603544387563,1.4874265759136787
3,t2dControlEmerge,2000,1.2740213523131672,0.004905900704305021,1.0769396675231522,1.5071693012134113
4,t2dControlEmerge,2000,1.382716049382716,0.00031169954367089587,1.1592189303620797,1.6493033568933928
5,t2dControlEmerge,2000,1.227436823104693,0.019463960642425105,1.0352168366884957,1.455348388201196
6,t2dControlEmerge,2000,1.4061302681992338,9.145108800662274e-05,1.1858604945474662,1.6673144440152423
7,t2dControlEmerge,2000,1.2097902097902098,0.028962814003087953,1.0222400359238506,1.4317501763482765
8,t2dControlEmerge,2000,1.3625498007968126,0.0005024248124531284,1.1446097632921413,1.6219868283419359
9,t2dControlEmerge,2000,1.383673469387755,0.0002779507057204427,1.1607806574305504,1.6493661034337934
10,t2dControlEmerge,2000,1.195729537366548,0.042010725263155364,1.0086613543811647,1.4174917283393034
11,t2dControlEmerge,2000,1.247104247104247,0.014623072144676135,1.0470657713165634,1.4853594165244097
12,t2dControlEmerge,2000,1.4703557312252964,9.160740364788923e-06,1.238847237650949,1.745127171971959
13,t2dControlEmerge,2000,1.3333333333333333,0.0009522833055431454,1.1254172938740277,1.579660973271636
14,t2dControlEmerge,2000,1.3923076923076922,0.00014620855143184885,1.1735113477086259,1.6518977118067835
15,t2dControlEmerge,2000,1.2627986348122866,0.0056487402471167,1.070363946111866,1.4898300693669961
16,t2dControlEmerge,2000,1.2536231884057971,0.0096686427984752,1.0577551887936842,1.4857607082986903
17,t2dControlEmerge,2000,1.2230483271375465,0.02262709843606806,1.0291415305184597,1.4534902791848023
18,t2dControlEmerge,2000,1.2892857142857144,0.003301790598057808,1.089973629018396,1.5250439174002894
19,t2dControlEmerge,2000,1.2307692307692308,0.013606557530129576,1.0438688806304584,1.4511333056441003
20,t2dControlEmerge,2000,1.4069767441860466,0.00010091876519204543,1.1855796198833073,1.669717938366055
21,t2dControlEmerge,2000,1.1921708185053381,0.046408632997761434,1.0055585545768648,1.4134147176478984
22,t2dControlEmerge,2000,1.368,0.0004224106268043567,1.148986503069757,1.628760646883232
23,t2dControlEmerge,2000,1.204946996466431,0.03142275573650299,1.0172282557797785,1.4273072499155957
24,t2dControlEmerge,2000,1.2334494773519165,0.015252450744949232,1.0431552861866333,1.4584574639326682
25,t2dControlEmerge,2000,1.174061433447099,0.06651947620781817,0.9928070249635759,1.3884070265905166
26,t2dControlEmerge,2000,1.4367816091954022,2.7844163369761444e-05,1.2125061764651195,1.7025409293504852
27,t2dControlEmerge,2000,1.3076923076923077,0.002499721115318057,1.0999946275654393,1.5546068396555897
28,t2dControlEmerge,2000,1.294776119402985,0.003205281552298748,1.0912501003810209,1.536261209772999
29,t2dControlEmerge,2000,1.179054054054054,0.05616095182595146,0.9979021851105973,1.393090909232981
30,t2dControlEmerge,2000,1.210344827586207,0.02689714405589623,1.0237548768109206,1.4309427333113902
31,t2dControlEmerge,2000,1.4354243542435425,2.1367283532206374e-05,1.2146453515034115,1.6963330689120095
32,t2dControlEmerge,2000,1.338235294117647,0.0007368715788177475,1.1302957033656518,1.5844293640058136
33,t2dControlEmerge,2000,1.1314878892733564,0.16598821414665643,0.9546490792437984,1.3410842490796775
34,t2dControlEmerge,2000,1.2922535211267605,0.0026781476385276453,1.093681608151795,1.526878709871053
35,t2dControlEmerge,2000,1.372,0.00036197943618016025,1.1524542925976835,1.6333697675393462
36,t2dControlEmerge,2000,1.5061728395061729,3.798828837400724e-06,1.2661067744208963,1.7917577476857751
37,t2dControlEmerge,2000,1.2689897610921501,0.004989568086048668,1.0757901741075455,1.49688577988046
38,t2dControlEmerge,2000,1.2627986348122866,0.0056487402471167,1.070363946111866,1.4898300693669961
39,t2dControlEmerge,2000,1.164835164835165,0.08578356701713116,0.9796061312452676,1.3850882696209346
40,t2dControlEmerge,2000,1.383399209486166,0.00023908305575227586,1.1633881902403185,1.6450170191358218
41,t2dControlEmerge,2000,1.4056224899598393,0.00013454592849333768,1.1812468210855103,1.6726179059387893
42,t2dControlEmerge,2000,1.325088339222615,0.0008857679579593518,1.1220618706569756,1.5648505244329156
43,t2dControlEmerge,2000,1.2006688963210703,0.03187492602323071,1.0175327355329862,1.4167660147442216
44,t2dControlEmerge,2000,1.2372262773722629,0.015118860067636518,1.0429070591180822,1.4677519420712926
45,t2dControlEmerge,2000,1.026946107784431,0.7711566162649584,0.8725555192668956,1.2086546758419003
46,t2dControlEmerge,2000,1.0875420875420876,0.34244707475416813,0.9181465794139231,1.2881905990766525
47,t2dControlEmerge,2000,1.2846441947565543,0.004687569465379179,1.0821332471197882,1.5250531406499062
48,t2dControlEmerge,2000,1.2406015037593985,0.015684104821529266,1.0435322203464379,1.4748869858748812
49,t2dControlEmerge,2000,1.2988929889298892,0.0025638833224941853,1.0957342370340881,1.5397191578661367
50,t2dControlEmerge,2000,1.4171482142857144,3.184915519319822e-05,1.2015432315151429,1.671441366883419
51,t2dControlEmerge,2000,1.2413793103448276,0.016767334863542337,1.0427079644340806,1.4779043075484442
52,t2dControlEmerge,2000,1.3052208835341366,0.003198578715691033,1.0942310755914848,1.5568937793991577
53,t2dControlEmerge,2000,1.2911877394636015,0.0038006312406380464,1.0859734411303505,1.535180986383821
54,t2dControlEmerge,2000,1.3345864661654134,0.000892249728204837,1.1252693244935077,1.5828397672473504
55,t2dControlEmerge,2000,1.287719298245614,0.0030917305608296345,1.089999220536565,1.5213047494271585
56,t2dControlEmerge,2000,1.2591240875912408,0.008389685287312586,1.061978906243542,1.49286719221229
57,t2dControlEmerge,2000,1.0273037542662116,0.7919314097863543,0.8646404998783264,1.2205685526851477
58,t2dControlEmerge,2000,1.3091603053435115,0.002246198570630156,1.1019045142000548,1.5553985694770924
59,t2dControlEmerge,2000,1.2481203007518797,0.012421691902962856,1.050069601535531,1.4835247900434057
60,t2dControlEmerge,2000,1.1156462585034013,0.21142654492090152,0.942010478031978,1.3212873987484328
61,t2dControlEmerge,2000,1.4313725490196079,4.019968885657012e-05,1.2057243057622884,1.6992502882253604
62,t2dControlEmerge,2000,1.3421052631578947,0.0007694601996748693,1.1318100497117425,1.5914742388573726
63,t2dControlEmerge,2000,1.2093023255813953,0.03537516357245547,1.013949185747497,1.4422932975467226
64,t2dControlEmerge,2000,1.1750841750841752,0.062014517349039115,0.9946725652986351,1.388218461739401
65,t2dControlEmerge,2000,1.0784313725490196,0.39327390548557806,0.912167102955415,1.2750012815961067
66,t2dControlEmerge,2000,1.2392857142857143,0.014295622815271901,1.0463698617141228,1.4677688433387392
67,t2dControlEmerge,2000,1.3127272727272727,0.0015744227662205855,1.1089692252203556,1.5539230966662445
68,t2dControlEmerge,2000,1.4264150943396225,3.663192345968445e-05,1.2048373590520887,1.6887424730593468
69,t2dControlEmerge,2000,1.371212121212121,0.000299746742719026,1.156489244255661,1.6258021340865954
70,t2dControlEmerge,2000,1.2941176470588236,0.0029682969168637304,1.0918731384812541,1.5338233219644462
71,t2dControlEmerge,2000,1.584,1.0553834994514813e-07,1.3363338337165693,1.8775667701399843
72,t2dControlEmerge,2000,1.3870967741935485,0.00025190459315451027,1.1648303428004187,1.6517748467579274
73,t2dControlEmerge,2000,1.25,0.009346557948102777,1.0568032455416605,1.4785155198867188
74,t2dControlEmerge,2000,1.377263779527559,0.0002865677488397268,1.1584252852147563,1.6374431243935454
75,t2dControlEmerge,2000,1.0633333333333332,0.4896662880646565,0.8976561353208982,1.259588982114602
76,t2dControlEmerge,2000,1.3576923076923078,0.0005122311781963689,1.143432613606986,1.6121005999225784
77,t2dControlEmerge,2000,1.3571428571428572,0.00042406951954316013,1.1448922263027121,1.6087424583551064
78,t2dControlEmerge,2000,1.2473118279569892,0.011226366554336004,1.0530925536708928,1.4773504861830158
79,t2dControlEmerge,2000,1.3294573643410852,0.0013874558314458567,1.1182519991087725,1.5805532965819657
80,t2dControlEmerge,2000,1.1855670103092784,0.04952201144235162,1.0023638443631488,1.4022544247161153
81,t2dControlEmerge,2000,1.205128205128205,0.03580901595282621,1.0146783875631662,1.4313244557060378
82,t2dControlEmerge,2000,1.2840909090909092,0.004507840657072414,1.080737844284146,1.5257071560236706
83,t2dControlEmerge,2000,1.2801556420233462,0.006058609071363491,1.075127856312935,1.5242823987691412
84,t2dControlEmerge,2000,1.3613138686131387,0.0003120730018653365,1.151010561229739,1.610042089360621
85,t2dControlEmerge,2000,1.4045801526717556,9.355949694664719e-05,1.1848476243559383,1.6650625487406605
86,t2dControlEmerge,2000,1.3102189781021898,0.0017786659665207272,1.1064888951901246,1.5514604602373112
87,t2dControlEmerge,2000,1.2412587412587412,0.012035379580637159,1.0497089140894396,1.4677623882881115
88,t2dControlEmerge,2000,1.2463235294117647,0.011764081900091634,1.0502588901061805,1.4789899467628935
89,t2dControlEmerge,2000,1.39773828125,0.00013395103981683073,1.176885510339983,1.6600359896582635
90,t2dControlEmerge,2000,1.330827067669173,0.0010297078464242455,1.1219990541110698,1.5785224395256954
91,t2dControlEmerge,2000,1.4370370370370371,2.0822338735868834e-05,1.215726433132972,1.6986349803174143
92,t2dControlEmerge,2000,1.1021671826625388,0.24539456411271143,0.9365175838757746,1.2971165939148164
93,t2dControlEmerge,2000,1.3246268656716418,0.0012268278850357923,1.1172249572310666,1.5705309140316506
94,t2dControlEmerge,2000,1.1590909090909092,0.10696237558467081,0.9721167231428534,1.382027182079207
95,t2dControlEmerge,2000,1.286689419795222,0.0030130162888380293,1.0912512088003388,1.51712974030334
