,control,samp_size,OR,p_value,ci95_lower,ci95_upper
0,t2dControlEmerge,2000,1.2417218543046358,0.009949661166139571,1.0541928747660851,1.4626101165784
1,t2dControlEmerge,2000,1.1830985915492958,0.05223342109324648,0.9984306548839026,1.4019223773619873
2,t2dControlEmerge,2000,1.1949458483754514,0.045171995925058384,1.0069079236110379,1.4180994578222363
3,t2dControlEmerge,2000,1.1443661971830985,0.1279016958501042,0.9646472088604523,1.3575678042984427
4,t2dControlEmerge,2000,1.3703703703703705,0.000247536836651988,1.157665645728406,1.6221565863323473
5,t2dControlEmerge,2000,1.1824104234527688,0.04969184969637948,1.0034363748918558,1.3933064860643847
6,t2dControlEmerge,2000,1.4128787878787878,5.966551018282909e-05,1.192729503317373,1.6736623548639258
7,t2dControlEmerge,2000,1.189964157706093,0.0505471635069146,1.0031041455975789,1.4116327829366206
8,t2dControlEmerge,2000,1.2982456140350878,0.0020864934601423453,1.099189287151017,1.533349800678851
9,t2dControlEmerge,2000,1.22,0.01905192410287076,1.0346903776858565,1.4384979623845444
10,t2dControlEmerge,2000,1.2740213523131672,0.004905900704305021,1.0769396675231522,1.5071693012134113
11,t2dControlEmerge,2000,1.2372881355932204,0.011716864987541804,1.0485718585283301,1.4599685448628552
12,t2dControlEmerge,2000,1.3843416370106763,0.00012020486929669752,1.173198110012734,1.6334852158435524
13,t2dControlEmerge,2000,1.2475247524752475,0.007977901065449903,1.0595186842588908,1.4688915175922912
14,t2dControlEmerge,2000,1.1283783783783783,0.17013555134802333,0.9536046429990644,1.3351841081514844
15,t2dControlEmerge,2000,1.25177304964539,0.009151006271993296,1.0578074927822931,1.4813052266221838
16,t2dControlEmerge,2000,1.373134328358209,0.00023773471075875954,1.1594424051789778,1.626210905598796
17,t2dControlEmerge,2000,1.1992753623188406,0.04055840818456748,1.0104079319763237,1.4234462627899178
18,t2dControlEmerge,2000,1.1480263157894737,0.10870961365285471,0.9726398302339369,1.3550385052894225
19,t2dControlEmerge,2000,1.2655172413793103,0.005457418855109652,1.071954652578857,1.4940313793828948
20,t2dControlEmerge,2000,1.2253521126760563,0.0185509765710214,1.0352948521766026,1.4502996869760807
