,year,testsPerBY,age
0,2014.0,0.00720856353,48
1,2007.0,0.00302958502,71
2,2006.0,1.346923e-05,46
3,2008.0,0.05675966328,74
4,2011.0,0.14462268783,105
5,2010.0,0.01568039063,42
6,2010.0,0.02127558395,47
7,2016.0,0.12934685856,41
8,2017.0,0.32695901473,92
9,2008.0,0.00493549717,91
10,2010.0,0.03538182528,55
11,2017.0,0.31481134331,73
12,2017.0,0.07382145228,20
13,2019.0,0.37007680804,84
14,2019.0,0.06090947928,26
15,2014.0,0.0013817586,6
16,2009.0,0.00421341288,24
17,2012.0,0.00657700917,26
18,2008.0,0.01734476415,82
19,2014.0,0.05263229827,97
20,2016.0,0.14264185139,43
21,2017.0,0.40844052983,79
22,2007.0,0.00095644348,48
23,2006.0,4.705716e-05,96
24,2016.0,0.13425611621,42
25,2008.0,0.00729788869,88
26,2016.0,0.27598786538,58
27,2008.0,0.02011595833,52
28,2004.0,6.46416e-06,73
29,2015.0,0.37532671514,89
30,2015.0,0.04537071504,24
31,2016.0,0.35897724616,65
32,2017.0,0.00229095074,112
33,2019.0,0.16196349649,94
34,2012.0,0.08604176479,107
35,2016.0,0.22741623622,53
36,2013.0,0.11109919372,81
37,2008.0,0.00305595166,21
38,2012.0,0.22243776418,84
39,2013.0,0.03469932485,107
40,2010.0,0.00361293688,18
41,2011.0,0.01742139495,45
42,2005.0,4.3777e-06,83
43,2017.0,0.38713805009,77
44,2007.0,0.00042896829,35
45,2015.0,0.08630432034,43
46,2003.0,1.61604e-06,73
47,2019.0,0.01787899238,5
48,2011.0,0.00755014597,32
49,2015.0,0.00281162136,119
50,2005.0,1.9596e-06,29
51,2007.0,0.00017461657,101
52,2012.0,0.0604709631,69
53,2006.0,7.814064e-05,77
54,2008.0,0.00481750121,12
55,2014.0,0.07502918804,80
56,2018.0,0.10120254064,33
57,2015.0,0.10882777976,48
58,2009.0,0.0049218733,25
59,2019.0,0.02420095997,13
60,2019.0,0.36118070512,77
61,2009.0,0.00713530655,102
62,2016.0,0.42189964255,86
63,2008.0,0.03581348902,64
64,2014.0,0.03541806117,101
65,2017.0,0.05548589341,3
66,2013.0,0.01056830082,46
67,2010.0,0.00660884282,24
68,2019.0,0.02344601654,3
69,2010.0,0.04926178637,61
